10000 40000
0 1549 2
0 1702 60
0 2516 65
0 3745 22
0 3907 67
0 9124 11
1 524 5
1 3300 9
1 7317 12
2 1395 61
2 1653 16
2 3068 53
2 3523 19
3 6157 59
3 8811 94
3 9023 78
3 9368 20
4 2952 70
4 4376 39
4 4951 95
4 9088 87
4 9114 78
4 9711 22
5 1432 66
5 2150 19
5 2550 44
5 2829 2
6 1028 60
6 2891 56
6 3012 74
6 4057 71
7 1856 58
7 6500 34
7 7922 35
8 1610 79
8 6707 100
8 7133 46
8 7395 84
9 5594 8
9 8868 58
9 9629 45
10 1513 24
10 4627 11
10 6249 64
10 7656 83
10 8910 4
11 57 41
11 1008 3
11 4942 74
12 519 79
12 3361 98
13 2682 60
13 7842 56
14 2177 19
14 4507 25
14 5816 75
14 7421 62
14 9269 27
15 803 35
15 1049 18
15 2546 1
15 3132 5
15 8290 76
15 8544 34
15 9036 40
16 703 54
16 6238 34
16 6366 85
17 4559 37
17 8541 42
18 1000 43
18 3979 82
18 6114 65
18 9444 54
19 7807 45
19 9827 48
20 2188 57
20 5767 86
20 8362 50
20 8627 30
21 2955 64
21 5436 47
22 964 90
22 1760 20
22 2365 66
22 2768 14
23 1985 95
23 4854 28
23 4875 41
23 5604 29
23 6077 46
23 6155 42
23 6816 33
23 7330 21
23 9019 75
24 1860 72
24 4438 74
24 5332 9
24 6472 57
25 65 11
25 86 50
25 194 100
25 1222 93
25 8425 15
25 9231 53
26 835 37
26 1695 62
26 2446 10
26 4715 23
26 6714 12
26 6872 40
26 9650 86
26 9965 59
27 608 29
27 684 6
27 1209 25
27 2264 43
27 3628 1
27 6247 52
27 7989 83
27 9793 29
28 1234 97
28 2018 25
28 3424 62
28 7943 18
28 8309 100
28 9007 33
29 246 92
29 2065 8
29 5940 90
29 7890 3
30 613 57
30 1802 89
30 3668 95
30 6830 71
30 7065 42
30 7679 32
31 276 33
31 447 51
31 1744 54
31 3360 45
31 9428 90
31 9552 40
32 672 3
32 7165 18
33 2112 46
33 3520 27
33 7140 60
33 7618 46
33 9218 79
33 9249 43
34 643 74
34 2986 76
34 4626 67
34 5379 36
34 5844 93
34 6709 66
34 9791 69
35 1613 84
35 3349 73
35 6404 58
35 7640 86
36 1181 30
36 3147 47
36 3549 81
36 5364 1
37 4588 88
38 6827 12
38 9136 33
39 2501 38
39 2852 66
39 3762 77
39 4173 27
39 5377 5
39 5974 80
40 4700 45
40 7805 50
41 6772 6
41 9230 5
42 1833 95
42 3073 85
42 4367 47
42 5292 69
42 7838 60
43 80 14
43 4776 5
44 53 52
44 3212 80
44 3391 73
44 4197 35
44 4416 52
45 948 30
45 3870 21
45 6006 82
45 9105 76
46 1677 1
46 4191 82
46 8169 63
46 9705 13
47 3355 15
47 5850 1
47 6361 78
48 1419 92
48 5181 28
48 6447 82
49 185 71
49 271 72
49 5539 32
50 1964 77
50 4872 76
50 5268 27
50 6461 61
51 3303 23
51 7508 96
52 412 20
52 1376 36
52 5443 100
52 6708 72
52 8342 15
53 1641 72
53 8828 7
54 106 67
54 2598 2
54 3195 27
54 6497 49
54 7514 77
54 7515 28
54 8708 30
55 959 40
55 1647 40
55 6569 45
55 7394 41
56 888 17
56 3617 36
56 8473 68
56 9171 99
57 4042 6
57 5703 39
57 7688 31
57 8405 82
58 3259 15
59 2936 57
59 5791 43
59 6021 37
59 6466 52
59 7073 62
60 1690 73
60 4422 52
60 7651 33
61 1377 88
61 4117 23
61 6064 39
61 8064 55
61 8548 24
61 8694 66
62 688 3
62 2976 1
62 4404 93
62 5256 33
62 5470 41
62 5842 33
62 9149 77
63 1521 81
63 2943 50
63 4810 12
63 7633 48
64 438 48
64 5069 17
64 6150 87
65 781 78
65 4923 99
65 5117 1
65 6213 35
65 8610 41
65 8897 38
66 1373 87
66 2814 3
66 6443 10
67 161 38
67 2811 36
67 3659 97
67 6916 61
67 7514 75
67 7723 51
67 8693 85
68 903 40
68 8218 54
69 1099 85
69 4186 33
69 8346 86
70 2297 26
70 4269 65
70 4520 62
70 8178 6
70 8887 14
70 9258 73
71 2772 53
71 4841 62
71 4975 90
71 6016 39
71 8980 40
72 1226 88
72 1596 40
72 6480 74
72 8132 28
72 9310 77
73 274 61
73 3805 31
73 4846 86
73 8821 99
73 9752 66
74 3869 83
74 9734 59
74 9869 40
75 3537 34
76 75 44
76 5872 80
76 8913 87
77 4841 29
77 8839 12
78 564 72
78 4990 54
78 5302 77
78 8176 33
78 9136 59
79 573 91
79 756 6
79 5298 12
79 7715 52
79 9875 95
80 1944 51
80 3290 92
80 4974 82
80 6076 91
80 9282 66
81 955 10
81 7303 67
81 8556 26
82 1200 41
82 2826 53
82 7160 25
83 2515 6
83 5086 35
83 7889 84
84 5080 46
84 7816 69
84 9858 27
85 2021 25
85 2830 55
85 9960 55
86 1969 37
86 5170 27
86 6771 9
86 6970 13
87 2637 59
87 3070 68
87 5315 4
87 9924 65
88 4296 79
88 6047 56
88 6369 59
88 7965 30
88 8537 47
89 1863 41
89 2426 20
89 5669 12
89 5764 51
89 6941 87
90 1062 38
90 3288 91
90 3303 39
90 5148 62
90 7047 96
90 8146 74
90 8310 45
90 9236 41
90 9418 42
91 1787 72
91 2858 66
91 4187 96
91 5085 27
92 6138 2
92 9562 22
93 481 35
93 2789 15
93 3401 81
93 3433 2
93 3543 19
93 4997 46
93 5552 81
93 6097 74
93 6764 4
93 7341 10
94 104 21
94 2383 45
94 2849 30
94 5254 33
94 9824 96
95 6057 16
95 6837 70
96 2667 86
96 3006 55
96 3061 32
96 8641 82
97 3353 28
97 3452 77
97 6498 23
97 8427 69
97 8693 48
98 9849 88
99 1649 65
99 2895 74
99 3591 90
99 6168 87
99 7843 8
99 9159 5
99 9914 68
100 2398 9
100 4442 23
100 5568 13
101 2041 90
101 2281 96
101 2905 17
101 6089 100
101 6308 16
101 8501 62
101 8615 29
102 6626 48
103 8709 57
104 3623 45
104 3983 18
104 4257 43
104 4345 99
105 6244 49
105 6321 24
105 6827 27
105 7177 25
105 8972 47
106 597 96
106 3771 73
106 3939 35
106 5124 61
107 26 46
107 2796 24
107 3645 47
107 8211 53
108 378 29
108 8427 15
108 9510 62
109 4006 51
109 7973 28
110 191 52
110 4124 47
110 4352 45
110 5220 51
110 5436 63
110 6515 6
110 7375 80
111 4893 11
111 9907 63
112 3665 24
112 6647 28
112 8522 5
112 9458 23
112 9492 77
113 3722 29
113 5381 49
114 2685 2
114 4452 75
114 5035 45
115 5433 74
116 8863 9
117 3895 5
117 3941 19
117 8666 33
118 3593 52
118 3708 72
118 4842 61
118 6006 66
118 7697 34
119 6723 12
119 7291 94
119 8163 85
120 2673 58
120 3482 38
120 6370 35
120 7221 21
120 8691 44
121 2073 15
121 2512 31
121 3259 6
121 4121 39
121 5827 58
122 2103 11
122 4841 61
123 111 35
123 3361 39
123 5423 10
123 6258 36
123 8007 13
124 9649 54
124 9811 10
125 240 22
125 517 58
125 1960 29
125 3442 55
